log_id,map_name,start_time_local,timezone,start_time_iso,duration_seconds,end_time_iso,ha_base_url,ha_entity_id,expected_filename,notes
bm3_20260619_141600,MultiMap Stage 2+,2026-06-19 14:16:00,America/Los_Angeles,2026-06-19T14:16:00-07:00,1,2026-06-19T14:16:01-07:00,http://10.0.0.44:8123,device_tracker.alan_bb,bm3_20260619_141600.csv,Start time and duration transcribed from Bootmod3 cloud datalog list screenshot.
bm3_20260618_104600,MultiMap Stage 2+,2026-06-18 10:46:00,America/Los_Angeles,2026-06-18T10:46:00-07:00,533,2026-06-18T10:54:53-07:00,http://10.0.0.44:8123,device_tracker.alan_bb,bm3_20260618_104600.csv,Start time and duration transcribed from Bootmod3 cloud datalog list screenshot.
bm3_20260617_193200,MultiMap Stage 2+,2026-06-17 19:32:00,America/Los_Angeles,2026-06-17T19:32:00-07:00,458,2026-06-17T19:39:38-07:00,http://10.0.0.44:8123,device_tracker.alan_bb,bm3_20260617_193200.csv,Start time and duration transcribed from Bootmod3 cloud datalog list screenshot.
bm3_20260617_190700,MultiMap Stage 2+,2026-06-17 19:07:00,America/Los_Angeles,2026-06-17T19:07:00-07:00,97,2026-06-17T19:08:37-07:00,http://10.0.0.44:8123,device_tracker.alan_bb,bm3_20260617_190700.csv,Start time and duration transcribed from Bootmod3 cloud datalog list screenshot.
bm3_20260617_152000,MultiMap Stage 2+,2026-06-17 15:20:00,America/Los_Angeles,2026-06-17T15:20:00-07:00,125,2026-06-17T15:22:05-07:00,http://10.0.0.44:8123,device_tracker.alan_bb,bm3_20260617_152000.csv,Start time and duration transcribed from Bootmod3 cloud datalog list screenshot.
bm3_20260617_144500,MultiMap Stage 2+,2026-06-17 14:45:00,America/Los_Angeles,2026-06-17T14:45:00-07:00,220,2026-06-17T14:48:40-07:00,http://10.0.0.44:8123,device_tracker.alan_bb,bm3_20260617_144500.csv,Start time and duration transcribed from Bootmod3 cloud datalog list screenshot.
bm3_20260616_201500,MultiMap Stage 2+,2026-06-16 20:15:00,America/Los_Angeles,2026-06-16T20:15:00-07:00,405,2026-06-16T20:21:45-07:00,http://10.0.0.44:8123,device_tracker.alan_bb,bm3_20260616_201500.csv,Start time and duration transcribed from Bootmod3 cloud datalog list screenshot.
